#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
according,,根據,0GmqSt1eawfv549gf7TE
warehouse,,倉庫,0pgFrZtOf35d83l7mcnK
strike,,罷工,0qlCSrSaCEF1i8vZ8MeO
candidate,,候選人,13hgO6jnb5pn5tcjHFcO
package,,包裝,13ww67PRZJLvPTtMwBu0
patience,,耐心,14f9MpN2VQLT0a4pryLS
respect,,尊敬,1BSJ6ETLuH5vmEI3mqiM
compensation,,補償,1CWVD2tTPyG8sfqltvy7
preference,,偏好,1GBbOxhgwvpVnwoTVf47
abroad,,國外,1NZP88JTKgG3shk1J86j
appeal,,呼籲,1O4nbAQlb4c3vIJVT1TQ
personal,,個人的,1Q7Nhn7d2mKklU8aVJXQ
lack,,缺乏,1cm6qOLHZZm9YhTc0Wtp
container,,容器,1kaUUg3H1l8fvuw3G0ye
memo,,備忘錄,1lTqdKbZ8QqrM0XpmIwa
appliance,,家電用具,1rpVCq4PcPm9zlqmYqvc
fee,,費用,1untAaI9zu0t6cTcRX21
conclusion,,結論,22Xs9g2S999IfHGbaVD9
organization,,組織,26ImEzTAOnQcoc5XoYAP
turnover,,人員流動率,2JyoxgwpmNwDF9DnGevN
complimentary,,贈送的,2PVdMgG7RjecsFOQTnld
restore,,恢復,2RspssZ3c4cHLPHymhCH
drawer,,抽屜,2Y0asBvPBA6BRfV7psMZ
postpone,,延遲,2b8o8gis8Q6kyBlRrYFQ
selective,,選擇性的,2hOh48OWVPgkou9G1bmt
resolve,,解決,2lL9Bh5LdTa0WkGc1hUg
experiment,,實驗,2mNaWbBgsnIoLa0gl6nw
drive,,開車,2raeuBmIlPYDCrC81Alh
plumber,,水電工,30Rx5lJXY542GADvZ0Ui
journal,,日記,37fEiIlyni0qtPpEaVOV
property,,財產,3Br6VMxsSPKfCazxvc4X
several,,幾個,3FDyqx7H9CgQTSaVfHBG
dependence,,依賴,3Fz4t2JjIGJdjoybOY9H
connection,,連接,3GXc14m6cwRSPirerecO
assign,,分配,3JRvhvFKVxgPSzyZgHNP
alternative,,替代方案,3Jk1OFchKYaUNetm4v55
develop,,發展,3MeEsr4Ii1BMuYtVhVBn
publicity,,宣傳,3SqFXtahBfMnwXb3QCqp
crash,,墜毀,3b8oVm4zfXXRYzYATTfH
inclusion,,包容,3eA6IItQKXYCZkkaTxav
expansion,,擴張,3eSia69xQeUsUQr5N703
livestock,,牲畜,3kVQuoDDrFziiqYzxJBk
condition,,條件,3lVUhHRnZncRh9OsJJxa
misrepresent,,誤導,3m8XvwB4DOeG3n5bb3b1
immediately,,立即,3vrGrXumUJtSeLc47loD
acquire,,獲得,3wELUBkK9rhSJqSeUOHn
event,,事件,3z1IJq7hBEkDzmJQffoG
damage,,損害,41WaU9021pw8wSUaG7OZ
significant,,重大的,424p7vYCuRUhrpF3GF2A
chair,,椅子,466pyrjbkfyGKSF3HhFL
cautious,,謹慎,4BNmqyzqkwBJAwXakUJZ
cover letter,,求職信,4CiE3AvOWjHLy2R5zavR
cancel,,取消,4CwqukG9Roplg7Fo5Dor
rehearse,,排練,4FLahtfWqIy24zqTUCXg
overdraft,,透支,4Gzx6io5ZofODoxcojVQ
scene,,場景,4JpyTxvWwOw186f7u8V2
achieve,,達成,4Ktucof1VIM5GIHlo26e
potential,,潛在的,4Lg7ckVwgdcbBCcDL9m1
fair,,公平,4Q56r3yUXsKhSQiEesuU
enable,,啟用,4RUqDzrugrJViFIGtzf1
obviously,,顯然地,4VMaeLLzwy3EFdg3DRSf
incentive,,誘因,4c4hn8sx991AVY7Y4r1E
particularly,,特別地,4dD97hQCptN48OoHUODt
install,,安裝,4lNu7eJeyKCa8L10BGvQ
overseas,,海外,4n3wamnWo8wn1BCk6FEm
inexperienced,,沒有經驗的,4r5QXog60xzl6s2XquU0
information,,資訊,4s2hJFenfmMqIPcL3bSI
firm,,公司,4uZs2Bn3xFf5rR6UJePt
competent,,勝任的,57m1kqqm7PwV7lZoUoXJ
awareness,,意識,58hthqZMdeXOcpmLSHbX
position,,位置,5KdF89U4GpnqoHnrVwjo
qualified,,合格的,5MYehwbyHfqnQ8X0U19S
flight,,飛行,5OWwpMaywIVAn2z5svW2
uniform,,制服,5R26SbLl1I4wudSUcYGJ
permanent,,永久的,5VN7xvxNU4U8qu8wlDUe
infer,,推論,5XhDc7DWyBFSSGh2XXqt
examination,,考試,5Y9d0Gwy6f0AtxVBS6Ls
prohibit,,禁止,5ejDl1BQWfJDIscrwE81
protection,,保護,5jGWQHk8BRhuJplvOpW5
drop,,掉落,5nTtjhRbHniLLq0Sx0NA
jealous,,嫉妒,5ot3GdIU838PD28nvPzG
license,,許可證,5pC3VgmH4ooquNEmUyVg
consultant,,顧問,5qI8FfJJfhKQOqkX3S9q
climate,,氣候,5yqzEpjbNB3aXadXxPbg
trend,,趨勢,5z2PpXatVo5RSaw5z4VY
merchandise,,商品,600PwSdPjTUU0Hbs6bBZ
boarding pass,,登機證,6151WNB4s7xjrPvelojE
process,,過程,62zmYBTZzuZGX012E3G4
capacity,,容量,66Ai6QVoZIWmyIbmPprN
itemize,,逐項列出 ,66bupQtu3mNeCnIjelo2
plug in,,插入,6BPqvxn9Sm9jYrkOdIXD
limousine,,禮車,6I2B4eDZMmOQiguUFxoW
triumph,,勝利,6RUOd7bhyOGcTyOseq7P
journey,,旅程,6VOmDTmDcaRYC5IEfRGw
file,,檔案,6Viy12b2WOS6oEbVAekD
efficiency,,效率,6WfLsx8eTmOWsY18NYTg
apprentice,,學徒,6abKjR8ZXel5AGLhnWp3
explore,,探索,6jeCXYomWsijlZ7Bjw56
spacious,,寬敞,6lL2rp4oHaXjNgqE7ogp
analysis,,分析,6ovRObS08h5qKxKA7I1l
point,,點,6qAcwG2ln86dklfEWCCm
calculate,,計算,6s0uXtfIEGZsXktCPUYw
supervise,,監督,6zCjbjYbqG3h3m1URtma
list,,列表,6zDPMrZcOCNup0YDT6Jk
commit,,承諾,7048KlQVE2ue2L4evpYD
annoying,,煩人的,71doLXtLlCjyvJiNCsZ2
demand,,需求,71gwJ2jVSnC5BcOAVEsJ
stable,,穩定,73KQ2LW1Y0pHMGGD46iV
rearrange,,重新排列,7B6747F1oYA3zw64clxc
earn,,賺,7F0kaCMCIthCeg5OPUYx
appointment,,預約 ,7Fenpuhy991sx6HJosGr
adjustment,,調整,7KwybTj9ozQxLsH9kN6U
afford,,負擔得起,7KxNYUfxUrGvgG1YVyOG
hire,,僱用,7RZVXvWVphTa4Phzr6xm
suitability,,適合性,7YX63WvZ6zyd8rOJ4t6p
profitability,,盈利能力,7i5sjMBkN3rVyhi8w9YQ
outline,,大綱,7m5vXfH8rbr7V0xM2Byu
concede,,讓步,7p21ijRDKaO7OS9VI1Pm
impact,,衝擊,80G9hNHZ4T8AOB6y5O5Z
deliver,,遞送,843wJEKEDI6uSFGQKHub
membership,,會員資格,86gAlTHUJHAT9sImcn4F
fix,,修復,8C1aXboltoOGq81aQBrD
competitive,,競爭性的,8PsCpxb1GtTIzEIvrPTw
organize,,組織,8UfivHdjZLGE8GLhOcQZ
delay,,延遲,8aRQdm3jydGLDOgDTDbj
distribute,,分配,8eedKGfYy26WIf0mFZie
plant,,植物,8qVjFDOISTAr9QmBt3rj
balance,,平衡,8qk9CBBhCdggqCwscM2W
reasonably,,合理地,8rfchcP23CqfGQxkIsGg
draw,,畫,91loRFXZBPzTtNX1GrNW
laptop,,筆記型電腦,92RGw8eUMeVCVPkk2mjV
jobless,,失業的,97Emi4IqOSuprocScoqj
reservation,,預約,97l2XxwTOyy05YpSqusP
inconvenience,,不便,9GBIe9vK7tb7SANy5jEw
strategy,,戰略,9JeQrWHB93Rr2Yp1y4QW
rate,,比率,9KFNeDC07hZaJQNNvPOn
specialty,,專門領域,9VL0z6XGItcmIimEziWq
external,,外部,9Y9qp0uvoJ0e59hOFH6s
personnel,,人員,9YEd7xqB08XDlDl3u5b8
barcode,,條碼,9dLNB0klir4tcCMAlDQd
merge,,合併,9dUz7JUdqZQ8lJyalpH8
fax,,傳真,9jHNQKJc1KFtKv0Y2kMs
probably,,大概,9qkhBH8v0S1lhRLjgSK9
competitor,,競爭者,9rOEYC6o1xVUB57VxExG
annual,,年度,9vHhfjiNjNVanXbMsU8w
desperate,,絕望,9wtrHpyxfuIBteDSXII4
demanding,,苛求的,9z9uTIoRWS8yv5K5Yd9n
background,,背景,A37dGpRb89Lq5MQrHP5J
strategic,,戰略性的,A9YPrS920xrm6aS9DLqd
senior,,高年級的,ADNZZ8DLPUlsAQOPVXiA
forget,,忘記,AELMlU6WuUMyg5oiNLoN
allow,,允許,AGKJPhrRXNy7CBBOiT7v
regarding,,關於,AKYzIZmE16cotJo2C8ju
stare,,凝視,AKpikESpQZDqjZq3pC58
register,,註冊,AP7HNoeXBi67so3vgvuP
affect,,影響,AQ4VU98omBZaMZ8dyc1d
prevent,,預防,AR7WhvZijw81MvZnDYlr
argue,,爭論,AXh4dwooyD1ZQQzEOE3G
satisfied,,滿意,AbMQB9LDTRIifZeGEU1j
disconnect,,斷開連接,AclESne70A87x5Whc5Qe
definite,,明確的,Ad9Q3G3PhObtwPvqKTuf
worthless,,毫無價值,Akt8iDwKpHcijLiAvjCQ
wholesale,,批發,Apj8LwJqvyggE1h7nQ5o
crowded,,擁擠,Ary7mrqM1sdwtxUmRmx1
manufacturing,,製造業,Au9ZdVmdQgi9kmAFuwhS
terrific,,極好的,AyCFHiauIujY0OHgdhVD
upgrade,,升級,B2PIB42kU6OqiVBaSNgQ
defect,,缺陷,B4Yca3MNQVPeubjmX8hL
frankly,,坦率地,BBQYZ1gywB47Qhmr50tK
actually,,實際上,BBpCME08oShZG8SVVduO
press,,壓縮,BLz14VgMXfIJkTOfSJMR
simplify,,簡化,BNVBHJBtBCVDHikiztn8
principal,,校長,BPEe9WIlLolBotvuIa2h
medic,,醫務兵,BfY4v4tJXVKFiWunFrMS
examine,,檢查,Bgd23WVjlpCngQnenE6I
field,,田野,BqQ4WNQ6H59ftwRv3w8q
replace,,替換,BqReXELGMJdyUO6KKhWL
responsibility,,責任,Bw7rWg1aJUgAXhb8fsom
behave,,舉止,BzQ4nQlqmZDb9MbZXf1V
vacancy,,空缺,C0ZEAKagIgkMcEWdRwIw
handy,,方便的,C2uQH62ffmm0w57gHneL
contribute,,貢獻,CCKJZsT23JzwRE62NoHi
wealth,,財富,CDVNWDaoUg0WhiOB46oM
constantly,,經常,CIMaHOGwLPoTQHulYWTf
revised,,修訂,CMJ6YtvTqBB9mrRON9eR
endure,,忍受,CMkQcEVMHCYOq9oIiIiX
shift,,轉移,CNszSuMI25SFcPAuadd6
professional,,專業,COXmYYob70P7QCCIeYSp
operate,,操作,CQXGmbh75owWc1xNyxtA
deal,,交易,CRm7i1o4wRk9K8QKiqad
form,,形式,CWWLNTbjVlcMJElmiUpx
reject,,拒絕,CXHILkiIBCIrMeWTJ1yZ
critical,,關鍵的,CZ6EC66ZNfL8jwAfoUOE
investigation,,調查,CZMiqf6JHIHp4MXerq1j
welfare,,福利,ChFpfcuedFDebnBUJLYW
licensing,,許可證核發,CtzemXeZftoIipV0MghW
increase,,增加,CvJpYmE1NaalX5rbnQA8
appreciative,,感激的,Cwmpy9g02sfBaPmOeoUS
exact,,精確,D1FBkHUQ75fd9fL0OAOv
profitable,,有利的,D9OBnmdIDuNR0kX4uguc
agreeable,,宜人的,DA3Y4b8fci5ZMldETpb7
itinerary,,行程,DAshuDQ6HKEIAWCqjRTP
concourse,,大廳,DGdb21KoBVpcdD5ZyiXe
transform,,變換,DH5mXtROBhDYEJncYeNJ
construction,,建造,DLCPb1F8AilmrZVbiyCs
chain,,鏈條,DNRnwmhnr3O6AhiZIVuv
decorate,,裝飾,DQRU4xKbhLiVG7jlOUbJ
unwrap,,拆開,DQokKUmIAeN8gk8OlmRL
jeopardize,,危險,DScgEoMwH7SZ9sp0QD7w
bored,,無聊,DizORER4nawg7d30am63
characteristic,,特徵,DjCk2KOJCLuP7JVU6OF9
beverage,,飲料,DslO1TvikhJoWQxOzreq
appreciable,,可觀的,Dtt0WanNUOb2QVPgdM0V
charity,,慈善,Dx5BHoRqDFW0uVXkLFGz
control,,控制,E1h439uCsJtPSn9FApct
narrowing,,縮小,E4NXG3oPvGCmDJkz6RcQ
progress,,進展,E579VW1DYZ5wZ3dKsjTA
towel,,毛巾,E5N5rC7VmojKZZF9hfXD
duration,,持續時間,EBFcWjfjPlclRtys89BE
quotation,,引用,ECcLXHepBnWw2LaCi5lZ
commute,,通勤,EEXbObtMG1GqHxmXU24g
bulletin,,公告,EPpql70plpEA3AhXgJIY
cost,,成本,EU9hp99UDH8s17Lf2E6i
valuables,,貴重物,EZu4RGx2fdsCOZmWCWNc
assess,,評估,EdFawoRs66rfhlKlXILj
internal,,內部,EfB9RA3l8T5GCTX53wqt
practically,,實際上,ElwOAlSKhiIgb40uNmuk
confusion,,混亂,EmC7bdyVMQKuR8GwWvDL
investigate,,調查,EmDlqltb0cQoqTzRbPet
cheap,,便宜,EpwkDLsPeiPsIycm62qw
permit,,許可,EscAkatm9yOOoJeIBJb5
chairman,,主席,F31qjMI7FvekvKyUNLYq
variety,,多樣性,F3MHiR0Iymp7sqibYSyX
exhibit,,展覽,F4s9CPKXnX0Gjox7ll1C
perform,,表演,FBmkziN9Y9RR7pNBMIRM
supervision,,監督,FCzae3vdtg8Rfw2jlNrC
amount,,數量,FF1MmTUM2utHVBZfFmAy
broadcast,,廣播,FGbdEUFCRTARuiu5vgX1
arrange,,安排,FJ9xfIuIXZ7FvyThGqrY
plow,,犁,FKRMrWj1mySJJfhlmgne
reminder,,提醒,FLiNfsXtDLhVsKsDvsoM
recruitment,,招聘,FLjtXz9dY7VjJTYClVt9
regional,,區域性的,FNjR94apehknHvDJqNZa
shine,,閃耀,FQq7WcSAvpmnJTkLRbUO
subscribe,,訂閱,FRFudal6LIbTY2ByKKhA
respond,,回應,FRzMcQyM9xqZnwgNzR11
remove,,移除,FT5I9Ecj7CwohMHDWa5n
drastic,,激烈,FWjSHC6U7xhAWPBrJHAO
check in,,登記入住,FYrSsrgPNvV6KYAto3Ts
benefit,,利益,FhSTZuEs4plwhqb7dVjc
priority,,優先權,FhWSFFfLyypbd0LHIvyE
grill,,烤架,FmJZhJqXncxHOzxGqS66
block,,塊,FnDjZtraigYzpXwLBWAQ
manage,,管理,FzfyZdciOS8pgyIk44Vm
redundant,,冗餘的,G2BgEffJetLTrufb6OuS
lease,,租約,G2v8mOLiIbea0vcBnkME
approach,,接近,G3xqZxtgBPn2Ex4LpQR1
apologize,,道歉,GJZ3V0s6sQrAIsG6LnPd
napkin,,餐巾紙,GMvqwOLfxyowW8UIqlAX
dispute,,爭議,GOHoVwBScDUiWwNHxUtf
haggle,,討價還價,GOjv4Ub2vZ6ZJ6BCOdfs
upstairs,,樓上,GT5U1rslXogQ5wSCQifH
commence,,開始,GUX0Fd3X3tBVzXJGybZD
affordable,,負擔得起的,GiftIk29jAV0gZhezQ68
certification,,認證,Giv2VWFbG4ItOF0jhyza
international,,國際的,Gkahi7OaO009Dphrva4H
installation,,安裝,Gku8PxI2IL3HmptJr5KZ
competition,,競爭,GmjJjst2mMhn4WqATJsK
warrant,,令狀,GoV4HTc1nNt8nR0V5I9b
forecast,,預測,GotYrLAYVepr3ATioIKc
route,,路線,Gq53DarBDzTasaHMYaQZ
warning,,警告,GqCa0I3shik1Yu8riRMV
commonly,,通常,GqwZ0pScL5PXm6ujFSJs
guarantee,,保證,GraFZjrjubQ8PLZW40LN
dividend,,股利,H2u3PaOBQZGz7oRB8r6V
subsidiary,,子公司,H4d0Ty99hr21lrCGQbqv
satisfy,,滿足,H4hnlILpSFpXtCWXMd28
support,,支持,H5HaVAsLtmRtAy4gtkhT
check out,,結帳,H9fKOAPWyalC0oYnYd73
fill out,,填寫,HBlSudTsv0Pp54nRzbuN
arbitrate,,仲裁,HCfpHO6pC2y4v5hlgL7F
feedback,,回饋,HGzYksjfBAlNVszFnq5X
complaint,,投訴,HKbZW3YiHAU2spNsXdlQ
entrée,,主菜,HV75xifbDKnBlqbDxCgn
stock,,庫存,HZP9UzQaizrAMP3YFAIc
briefing,,簡報,Hao6teRpzpBROJSD6sFk
vital,,至關重要,Hhvge5Y6ya9n2Js1Slop
retail,,零售,HmNk62wFbKwTNWY913VL
accurate,,準確,HotR80uEuVFb6CZAmgVS
endurance,,耐久力,HvJlNkFww0ZpJI8W0BgO
delivery,,遞送,Hw15KkqGK651zyT8RI6K
save,,儲存,HyJzACNz6MDMXGaToMHN
serious,,嚴肅,I0MsUFR3Sdmo5dhquei8
politics,,政治,I2b5M9koK3T7TkioaQkj
commission,,委員會,I4XNNFc80FVf5GyqLlXq
dismiss,,解散,I5reDNQi8k3doIaovi0b
accommodate,,容納；提供住宿,I7G08T0Yzc6WZ1gwMrG7
evaluate,,評估,I8w02yrMp2FWjaax1qj8
original,,原始,IA7uf6OUS2UuFPUxf7Lt
invent,,發明,IDp60vcxVwR9r9ZqltDY
workplace,,工作場所,IRISTo5TE9RSgJgcRFNj
tour,,旅遊,ISRsJAvnSCjtpMoTDLeq
suit,,西裝,IUl78vKC4jxck9HymhyA
board,,板,IUmkVh6Cfr1V7scQAsMG
development,,發展,IYKAFhcEHT1GHewvOBYK
politician,,政治家,IdYNJYlombKRCuRiu7bO
secretary,,秘書,IetoALJjaLwXbMq503Vp
luxury,,奢侈品,IirxW4ZnFpi7OzXeKQEg
employer,,雇主,Ik9uB4gS7T1oe5nvC1di
certificate,,證書,IkdlbGM0bT9IqXv6tUfG
expense,,費用,IlKcfe4UJd0z5srJ0nD1
definitely,,肯定,ImQl6chruuTIEm80LFA8
shipment,,裝運,IpUH7uEWh2LkjAQd7CYK
million,,百萬,IvH3UAMAtZmOHG9Nzitq
contain,,包含,IvTvYzsOqPbLvmpctUMB
keen,,敏銳,IvXYoeaHcvqemePMTyxd
